crime,neighborhood,count
BURGLARY-RESIDENCE,Bankhead Courts,3
AGG ASSAULT,Wyngate,3
AUTO THEFT,Sherwood Forest,3
RAPE,The Villages at Carver,3
RAPE,Underwood Hills,3
BURGLARY-RESIDENCE,Lenox,3
RAPE,Mays,3
BURGLARY-NONRES,Westwood Terrace,3
LARCENY-NON VEHICLE,Fort McPherson,3
RAPE,Princeton Lakes,3
ROBBERY-RESIDENCE,Audobon Forest,3
RAPE,Loring Heights,3
HOMICIDE,Lindridge/Martin Manor,3
AGG ASSAULT,Lake Estates,3
ROBBERY-PEDESTRIAN,Rue Royal,3
ROBBERY-COMMERCIAL,Almond Park,3
BURGLARY-NONRES,Lincoln Homes,3
RAPE,Cascade Avenue/Road,3
HOMICIDE,Adams Park,3
BURGLARY-NONRES,West Highlands,3
RAPE,Chosewood Park,3
ROBBERY-PEDESTRIAN,Peachtree Heights East,3
ROBBERY-PEDESTRIAN,Peachtree Battle Alliance,3
BURGLARY-NONRES,High Point,3
HOMICIDE,Ben Hill,3
ROBBERY-COMMERCIAL,Blair Villa/Poole Creek,3
ROBBERY-RESIDENCE,High Point,3
BURGLARY-NONRES,Bakers Ferry,3
ROBBERY-PEDESTRIAN,Brandon,3
RAPE,Fort Valley,3
ROBBERY-RESIDENCE,South Tuxedo Park,3
RAPE,Garden Hills,3
HOMICIDE,The Villages at Carver,3
RAPE,Ormewood Park,3
HOMICIDE,Orchard Knob,3
HOMICIDE,Scotts Crossing,3
ROBBERY-RESIDENCE,Buckhead Heights,3
LARCENY-NON VEHICLE,Mt. Paran Parkway,3
RAPE,Harris Chiles,3
ROBBERY-PEDESTRIAN,Brookhaven,3
ROBBERY-RESIDENCE,Buckhead Forest,3
ROBBERY-RESIDENCE,Cascade Heights,3
ROBBERY-PEDESTRIAN,Brentwood,3
AUTO THEFT,Woodfield,3
HOMICIDE,Polar Rock,3
HOMICIDE,West Lake,3
RAPE,Morningside/Lenox Park,3
ROBBERY-PEDESTRIAN,Boulder Park,3
ROBBERY-PEDESTRIAN,Collier Hills,3
ROBBERY-COMMERCIAL,Fairburn Mays,3
ROBBERY-PEDESTRIAN,Atlanta Industrial Park,3
ROBBERY-PEDESTRIAN,Peyton Forest,2
LARCENY-FROM VEHICLE,Huntington,2
RAPE,Rebel Valley Forest,2
AUTO THEFT,Regency Trace,2
ROBBERY-RESIDENCE,Randall Mill,2
AUTO THEFT,Fernleaf,2
AUTO THEFT,Ben Hill Forest,2
BURGLARY-NONRES,Lake Claire,2
AUTO THEFT,Chattahoochee,2
BURGLARY-NONRES,Peachtree Battle Alliance,2
BURGLARY-NONRES,Kingswood,2
BURGLARY-NONRES,Sherwood Forest,2
ROBBERY-RESIDENCE,Ridgewood Heights,2
LARCENY-FROM VEHICLE,Mt. Paran Parkway,2
ROBBERY-PEDESTRIAN,Ridgewood Heights,2
AGG ASSAULT,Audobon Forest West,2
ROBBERY-RESIDENCE,Poncey-Highland,2
LARCENY-NON VEHICLE,Hanover West,2
BURGLARY-NONRES,Just Us,2
LARCENY-NON VEHICLE,Horseshoe Community,2
ROBBERY-RESIDENCE,Wildwood (NPU-H),2
ROBBERY-RESIDENCE,Bankhead/Bolton,2
HOMICIDE,Poncey-Highland,2
ROBBERY-PEDESTRIAN,Argonne Forest,2
RAPE,Bankhead/Bolton,2
LARCENY-NON VEHICLE,Pleasant Hill,2
ROBBERY-PEDESTRIAN,Ridgecrest Forest,2
RAPE,The Villages at East Lake,2
BURGLARY-NONRES,Margaret Mitchell,2
ROBBERY-PEDESTRIAN,Bankhead Courts,2
ROBBERY-RESIDENCE,Rue Royal,2
AGG ASSAULT,Just Us,2
LARCENY-NON VEHICLE,Regency Trace,2
BURGLARY-RESIDENCE,Georgia Tech,2
ROBBERY-PEDESTRIAN,Audobon Forest,2
RAPE,South Tuxedo Park,2
AUTO THEFT,Memorial Park,2
ROBBERY-PEDESTRIAN,Audobon Forest West,2
BURGLARY-NONRES,Pomona Park,2
ROBBERY-RESIDENCE,Candler Park,2
AGG ASSAULT,Chalet Woods,2
AGG ASSAULT,Atkins Park,2
ROBBERY-RESIDENCE,Whitewater Creek,2
RAPE,Marietta Street Artery,2
RAPE,Wildwood (NPU-H),2
BURGLARY-NONRES,Wildwood (NPU-H),2
AUTO THEFT,Pleasant Hill,2
ROBBERY-RESIDENCE,Deerwood,2
HOMICIDE,Baker Hills,2
ROBBERY-COMMERCIAL,Sweet Auburn,2
AGG ASSAULT,Westover Plantation,2
ROBBERY-PEDESTRIAN,Sherwood Forest,2
AUTO THEFT,Horseshoe Community,2
RAPE,Hills Park,2
ROBBERY-RESIDENCE,Fairburn Heights,2
AGG ASSAULT,Laurens Valley,2
AGG ASSAULT,Collier Hills North,2
ROBBERY-PEDESTRIAN,Colonial Homes,2
HOMICIDE,Bankhead/Bolton,2
BURGLARY-NONRES,Green Acres Valley,2
ROBBERY-PEDESTRIAN,Harvel Homes Community,2
ROBBERY-COMMERCIAL,Channing Valley,2
HOMICIDE,Mellwood,2
HOMICIDE,Florida Heights,2
RAPE,Peachtree Hills,2
HOMICIDE,Mays,2
ROBBERY-PEDESTRIAN,Green Forest Acres,2
RAPE,Ben Hill,2
HOMICIDE,Marietta Street Artery,2
LARCENY-NON VEHICLE,Old Fairburn Village,2
ROBBERY-RESIDENCE,Brandon,2
HOMICIDE,Harris Chiles,2
ROBBERY-RESIDENCE,Berkeley Park,2
BURGLARY-NONRES,Green Forest Acres,2
RAPE,Fairburn Road/Wisteria Lane,2
ROBBERY-COMMERCIAL,Cascade Heights,2
BURGLARY-NONRES,Arden/Habersham,2
HOMICIDE,Inman Park,2
ROBBERY-COMMERCIAL,Whittier Mill Village,2
ROBBERY-RESIDENCE,Bolton Hills,2
ROBBERY-RESIDENCE,Mt. Paran/Northside,2
ROBBERY-RESIDENCE,Betmar LaVilla,2
HOMICIDE,Lakewood,2
RAPE,Riverside,2
ROBBERY-PEDESTRIAN,East Chastain Park,2
AGG ASSAULT,Boulder Park,2
ROBBERY-PEDESTRIAN,East Ardley Road,2
HOMICIDE,Loring Heights,2
BURGLARY-NONRES,Fort McPherson,2
RAPE,Ansley Park,2
RAPE,Cross Creek,2
AGG ASSAULT,Ridgedale Park,2
ROBBERY-RESIDENCE,Ben Hill Terrace,2
BURGLARY-NONRES,Hanover West,2
ROBBERY-RESIDENCE,West Paces Ferry/Northside,2
AGG ASSAULT,Harvel Homes Community,2
ROBBERY-PEDESTRIAN,Margaret Mitchell,2
BURGLARY-NONRES,Bolton Hills,2
BURGLARY-NONRES,Boulder Park,2
HOMICIDE,Piedmont Heights,2
ROBBERY-RESIDENCE,Beecher Hills,2
ROBBERY-COMMERCIAL,Pine Hills,2
RAPE,Peyton Forest,2
AGG ASSAULT,State Facility,2
ROBBERY-PEDESTRIAN,Niskey Cove,2
ROBBERY-PEDESTRIAN,Niskey Lake,2
BURGLARY-NONRES,Swallow Circle/Baywood,2
ROBBERY-RESIDENCE,Heritage Valley,2
HOMICIDE,Capitol View Manor,2
ROBBERY-COMMERCIAL,Dixie Hills,2
AGG ASSAULT,Niskey Cove,2
AGG ASSAULT,Brookhaven,2
RAPE,Old Gordon,2
ROBBERY-PEDESTRIAN,Laurens Valley,2
AGG ASSAULT,East Ardley Road,2
ROBBERY-RESIDENCE,Ridgecrest Forest,2
ROBBERY-COMMERCIAL,Peachtree Hills,2
ROBBERY-COMMERCIAL,Rosedale Heights,2
RAPE,Lincoln Homes,2
BURGLARY-NONRES,Audobon Forest West,2
BURGLARY-NONRES,Baker Hills,2
HOMICIDE,East Lake,2
ROBBERY-RESIDENCE,Woodfield,1
RAPE,Ben Hill Acres,1
ROBBERY-RESIDENCE,Druid Hills,1
BURGLARY-NONRES,Old Fairburn Village,1
RAPE,Ben Hill Forest,1
ROBBERY-RESIDENCE,Cascade Green,1
BURGLARY-NONRES,Peachtree Heights East,1
BURGLARY-NONRES,Amal Heights,1
ROBBERY-RESIDENCE,Elmco Estates,1
BURGLARY-NONRES,Brandon,1
BURGLARY-NONRES,Fairway Acres,1
BURGLARY-NONRES,Ben Hill Forest,1
BURGLARY-NONRES,Ben Hill Pines,1
ROBBERY-RESIDENCE,Oakcliff,1
RAPE,Ben Hill Pines,1
AGG ASSAULT,Castlewood,1
ROBBERY-RESIDENCE,Paces,1
ROBBERY-RESIDENCE,Peachtree Heights East,1
LARCENY-NON VEHICLE,State Facility,1
RAPE,Bakers Ferry,1
ROBBERY-RESIDENCE,Peachtree Hills,1
ROBBERY-RESIDENCE,Peachtree Park,1
ROBBERY-RESIDENCE,Sandlewood Estates,1
BURGLARY-NONRES,Castlewood,1
BURGLARY-NONRES,Argonne Forest,1
ROBBERY-RESIDENCE,Rebel Valley Forest,1
ROBBERY-RESIDENCE,Pleasant Hill,1
ROBBERY-RESIDENCE,Pomona Park,1
RAPE,Ardmore,1
RAPE,Argonne Forest,1
RAPE,Arlington Estates,1
ROBBERY-RESIDENCE,Tuxedo Park,1
ROBBERY-RESIDENCE,English Park,1
ROBBERY-RESIDENCE,Fairburn,1
ROBBERY-RESIDENCE,Wildwood (NPU-C),1
ROBBERY-RESIDENCE,Fairway Acres,1
BURGLARY-NONRES,Meadowbrook Forest,1
RAPE,Baker Hills,1
ROBBERY-RESIDENCE,Whittier Mill Village,1
ROBBERY-RESIDENCE,Georgia Tech,1
BURGLARY-NONRES,Atkins Park,1
ROBBERY-RESIDENCE,Westminster/Milmar,1
ROBBERY-RESIDENCE,Hanover West,1
BURGLARY-NONRES,Audobon Forest,1
BURGLARY-NONRES,Heritage Valley,1
AGG ASSAULT,Chattahoochee,1
ROBBERY-RESIDENCE,Ivan Hill,1
ROBBERY-RESIDENCE,Laurens Valley,1
ROBBERY-RESIDENCE,Lenox,1
RAPE,Amal Heights,1
RAPE,East Ardley Road,1
BURGLARY-NONRES,Ridgedale Park,1
HOMICIDE,Wildwood (NPU-H),1
AGG ASSAULT,Wesley Battle,1
RAPE,Niskey Lake,1
ROBBERY-COMMERCIAL,Meadowbrook Forest,1
RAPE,Niskey Cove,1
ROBBERY-COMMERCIAL,Mozley Park,1
ROBBERY-COMMERCIAL,Norwood Manor,1
AGG ASSAULT,Westminster/Milmar,1
AGG ASSAULT,Whitewater Creek,1
ROBBERY-COMMERCIAL,Rebel Valley Forest,1
ROBBERY-COMMERCIAL,Scotts Crossing,1
LARCENY-FROM VEHICLE,Fort McPherson,1
ROBBERY-COMMERCIAL,Wisteria Gardens,1
AGG ASSAULT,Fernleaf,1
HOMICIDE,Wilson Mill Meadows,1
HOMICIDE,Westwood Terrace,1
ROBBERY-COMMERCIAL,Leila Valley,1
RAPE,Huntington,1
ROBBERY-PEDESTRIAN,Bakers Ferry,1
HOMICIDE,The Villages at East Lake,1
RAPE,Heritage Valley,1
HOMICIDE,Rosedale Heights,1
HOMICIDE,Riverside,1
ROBBERY-PEDESTRIAN,Bolton Hills,1
HOMICIDE,Peachtree Park,1
HOMICIDE,Peachtree Battle Alliance,1
HOMICIDE,Ormewood Park,1
ROBBERY-PEDESTRIAN,Butner/Tell,1
HOMICIDE,North Buckhead,1
HOMICIDE,Midwest Cascade,1
HOMICIDE,Magnum Manor,1
LARCENY-FROM VEHICLE,Old Fairburn Village,1
ROBBERY-COMMERCIAL,Lakewood,1
RAPE,Ben Hill Terrace,1
ROBBERY-COMMERCIAL,Carver Hills,1
RAPE,Ridgecrest Forest,1
RAPE,Rockdale,1
RAPE,Swallow Circle/Baywood,1
RAPE,The Villages at Castleberry H,1
RAPE,West Paces Ferry/Northside,1
RAPE,Westhaven,1
ROBBERY-COMMERCIAL,Ben Hill,1
AGG ASSAULT,Magnum Manor,1
LARCENY-NON VEHICLE,Chattahoochee,1
ROBBERY-COMMERCIAL,Betmar LaVilla,1
AGG ASSAULT,Mt. Paran Parkway,1
AGG ASSAULT,Niskey Lake,1
ROBBERY-COMMERCIAL,Capitol Gateway,1
ROBBERY-COMMERCIAL,Capitol View Manor,1
AGG ASSAULT,Old Fairburn Village,1
ROBBERY-COMMERCIAL,Lake Claire,1
ROBBERY-COMMERCIAL,Chosewood Park,1
RAPE,Peachtree Heights West,1
RAPE,Peachtree Heights East,1
AGG ASSAULT,Randall Mill,1
AGG ASSAULT,Regency Trace,1
RAPE,Paces,1
LARCENY-FROM VEHICLE,State Facility,1
AGG ASSAULT,Sherwood Forest,1
AGG ASSAULT,Springlake,1
ROBBERY-COMMERCIAL,Ivan Hill,1
ROBBERY-COMMERCIAL,Joyland,1
ROBBERY-COMMERCIAL,Just Us,1
ROBBERY-COMMERCIAL,Kingswood,1
AGG ASSAULT,Tampa Park,1
RAPE,Fort McPherson,1
ROBBERY-PEDESTRIAN,Chalet Woods,1
ROBBERY-PEDESTRIAN,Chattahoochee,1
BURGLARY-NONRES,Woodfield,1
ROBBERY-PEDESTRIAN,Randall Mill,1
RAPE,Carver Hills,1
BURGLARY-RESIDENCE,Old Fairburn Village,1
RAPE,Capitol View Manor,1
ROBBERY-PEDESTRIAN,Tampa Park,1
RAPE,Candler Park,1
ROBBERY-PEDESTRIAN,Tuxedo Park,1
RAPE,Buckhead Heights,1
ROBBERY-PEDESTRIAN,Westover Plantation,1
AUTO THEFT,State Facility,1
RAPE,Brookwood,1
ROBBERY-PEDESTRIAN,Wildwood Forest,1
ROBBERY-PEDESTRIAN,Wyngate,1
RAPE,Brookview Heights,1
ROBBERY-RESIDENCE,Amal Heights,1
AGG ASSAULT,Brandon,1
ROBBERY-RESIDENCE,Ansley Park,1
ROBBERY-RESIDENCE,Arlington Estates,1
RAPE,Betmar LaVilla,1
BURGLARY-NONRES,West Manor,1
ROBBERY-RESIDENCE,Baker Hills,1
ROBBERY-RESIDENCE,Bakers Ferry,1
ROBBERY-RESIDENCE,Bankhead Courts,1
ROBBERY-RESIDENCE,Boulevard Heights,1
ROBBERY-RESIDENCE,Briar Glen,1
ROBBERY-RESIDENCE,Brookview Heights,1
ROBBERY-RESIDENCE,Brookwood,1
BURGLARY-NONRES,Springlake,1
ROBBERY-RESIDENCE,Buckhead Village,1
ROBBERY-RESIDENCE,Butner/Tell,1
AUTO THEFT,Englewood Manor,1
RAPE,Cascade Green,1
RAPE,Chastain Park,1
HOMICIDE,Arlington Estates,1
ROBBERY-PEDESTRIAN,Collier Hills North,1
HOMICIDE,Lindbergh/Morosgo,1
HOMICIDE,Lenox,1
HOMICIDE,Leila Valley,1
HOMICIDE,Laurens Valley,1
HOMICIDE,Knight Park/Howell Station,1
ROBBERY-PEDESTRIAN,Englewood Manor,1
HOMICIDE,Huntington,1
ROBBERY-PEDESTRIAN,Fairburn Tell,1
HOMICIDE,Home Park,1
ROBBERY-PEDESTRIAN,Green Acres Valley,1
HOMICIDE,Garden Hills,1
ROBBERY-PEDESTRIAN,Hanover West,1
HOMICIDE,English Park,1
ROBBERY-PEDESTRIAN,Ivan Hill,1
ROBBERY-PEDESTRIAN,Kingswood,1
HOMICIDE,Druid Hills,1
HOMICIDE,Deerwood,1
HOMICIDE,Capitol Gateway,1
HOMICIDE,Bush Mountain,1
HOMICIDE,Buckhead Forest,1
HOMICIDE,Bolton,1
HOMICIDE,Blair Villa/Poole Creek,1
HOMICIDE,Betmar LaVilla,1
ROBBERY-PEDESTRIAN,Mt. Gilead Woods,1
HOMICIDE,Ben Hill Terrace,1
AGG ASSAULT,Bankhead Courts,1
RAPE,Colonial Homes,1
HOMICIDE,Atlanta Industrial Park,1
ROBBERY-RESIDENCE,Woodland Hills,1
