crime,neighborhood,count
ROBBERY-PEDESTRIAN,Center Hill,143
BURGLARY-RESIDENCE,Atlanta University Center,143
AGG ASSAULT,South Atlanta,142
ROBBERY-PEDESTRIAN,Adair Park,142
AUTO THEFT,Lenox,141
BURGLARY-NONRES,Adamsville,141
LARCENY-FROM VEHICLE,Brookview Heights,140
LARCENY-FROM VEHICLE,Druid Hills,140
BURGLARY-NONRES,Home Park,139
AGG ASSAULT,East Atlanta,138
LARCENY-FROM VEHICLE,Rosedale Heights,137
ROBBERY-PEDESTRIAN,Reynoldstown,137
LARCENY-FROM VEHICLE,Kings Forest,135
LARCENY-NON VEHICLE,The Villages at Carver,134
LARCENY-FROM VEHICLE,Mozley Park,134
ROBBERY-PEDESTRIAN,Bankhead,134
AUTO THEFT,Bolton,133
LARCENY-NON VEHICLE,Marietta Street Artery,133
AUTO THEFT,Almond Park,133
AUTO THEFT,Scotts Crossing,133
BURGLARY-RESIDENCE,Amal Heights,133
AUTO THEFT,Monroe Heights,132
BURGLARY-NONRES,Pittsburgh,131
LARCENY-NON VEHICLE,Brookview Heights,131
LARCENY-FROM VEHICLE,Capitol Gateway,131
BURGLARY-RESIDENCE,Piedmont Heights,131
BURGLARY-RESIDENCE,Orchard Knob,131
LARCENY-NON VEHICLE,Carey Park,130
BURGLARY-RESIDENCE,Cascade Heights,130
BURGLARY-RESIDENCE,Fairburn,130
AGG ASSAULT,Mozley Park,128
BURGLARY-RESIDENCE,Candler Park,128
AUTO THEFT,Custer/McDonough/Guice,128
AUTO THEFT,West Highlands,127
ROBBERY-PEDESTRIAN,Peoplestown,127
BURGLARY-RESIDENCE,Underwood Hills,127
BURGLARY-NONRES,Harland Terrace,126
LARCENY-NON VEHICLE,Bolton,126
ROBBERY-PEDESTRIAN,Lindbergh/Morosgo,126
ROBBERY-PEDESTRIAN,Home Park,126
BURGLARY-RESIDENCE,Westwood Terrace,126
ROBBERY-PEDESTRIAN,Venetian Hills,124
ROBBERY-PEDESTRIAN,Washington Park,124
BURGLARY-RESIDENCE,Castleberry Hill,123
AUTO THEFT,Blair Villa/Poole Creek,122
ROBBERY-PEDESTRIAN,Westview,122
BURGLARY-RESIDENCE,Norwood Manor,122
ROBBERY-PEDESTRIAN,Browns Mill Park,121
LARCENY-FROM VEHICLE,Custer/McDonough/Guice,121
BURGLARY-NONRES,East Atlanta,121
LARCENY-FROM VEHICLE,West Highlands,120
BURGLARY-NONRES,Greenbriar,120
LARCENY-FROM VEHICLE,Cascade Heights,120
AGG ASSAULT,Sweet Auburn,120
BURGLARY-RESIDENCE,Ben Hill Terrace,119
BURGLARY-NONRES,Lakewood Heights,118
AGG ASSAULT,Chosewood Park,117
LARCENY-NON VEHICLE,West Lake,117
AUTO THEFT,East Lake,116
BURGLARY-RESIDENCE,Berkeley Park,115
ROBBERY-COMMERCIAL,Downtown,115
BURGLARY-RESIDENCE,Beecher Hills,115
BURGLARY-RESIDENCE,Bush Mountain,115
LARCENY-NON VEHICLE,Rosedale Heights,115
BURGLARY-NONRES,Campbellton Road,114
BURGLARY-RESIDENCE,Midwest Cascade,114
LARCENY-NON VEHICLE,Wildwood (NPU-C),114
BURGLARY-RESIDENCE,West Highlands,114
BURGLARY-RESIDENCE,Brookwood,113
BURGLARY-NONRES,Hammond Park,113
BURGLARY-RESIDENCE,Monroe Heights,113
BURGLARY-RESIDENCE,Leila Valley,113
BURGLARY-RESIDENCE,Cross Creek,113
BURGLARY-NONRES,Oakland City,113
ROBBERY-PEDESTRIAN,South River Gardens,113
ROBBERY-PEDESTRIAN,Ashview Heights,112
AGG ASSAULT,Lindridge/Martin Manor,111
LARCENY-FROM VEHICLE,Ben Hill,111
LARCENY-NON VEHICLE,Lakewood,111
AUTO THEFT,Ashley Courts,110
AGG ASSAULT,Castleberry Hill,110
LARCENY-FROM VEHICLE,Oakland,110
BURGLARY-NONRES,North Buckhead,109
BURGLARY-NONRES,Glenrose Heights,109
BURGLARY-NONRES,Bankhead,109
ROBBERY-PEDESTRIAN,Virginia Highland,109
BURGLARY-RESIDENCE,Old Gordon,108
AGG ASSAULT,Custer/McDonough/Guice,107
AUTO THEFT,Buckhead Forest,107
BURGLARY-RESIDENCE,Deerwood,107
LARCENY-NON VEHICLE,Scotts Crossing,106
BURGLARY-RESIDENCE,Garden Hills,106
ROBBERY-COMMERCIAL,West End,106
BURGLARY-RESIDENCE,Wilson Mill Meadows,106
BURGLARY-RESIDENCE,Carver Hills,105
BURGLARY-RESIDENCE,Lincoln Homes,104
ROBBERY-PEDESTRIAN,Custer/McDonough/Guice,103
LARCENY-NON VEHICLE,Blair Villa/Poole Creek,102
AGG ASSAULT,Lindbergh/Morosgo,102
AUTO THEFT,Norwood Manor,102
AUTO THEFT,Wildwood (NPU-H),102
LARCENY-NON VEHICLE,Almond Park,102
AGG ASSAULT,Summerhill,101
ROBBERY-PEDESTRIAN,Summerhill,101
AGG ASSAULT,Scotts Crossing,101
AUTO THEFT,Buckhead Village,100
ROBBERY-PEDESTRIAN,Fairburn Mays,100
BURGLARY-NONRES,Southwest,100
BURGLARY-RESIDENCE,Arlington Estates,99
LARCENY-NON VEHICLE,Fairburn Heights,99
LARCENY-FROM VEHICLE,Randall Mill,98
AUTO THEFT,Lake Claire,98
LARCENY-FROM VEHICLE,West Lake,98
LARCENY-FROM VEHICLE,Peachtree Battle Alliance,98
AGG ASSAULT,Almond Park,98
RAPE,Downtown,98
BURGLARY-NONRES,Berkeley Park,97
BURGLARY-RESIDENCE,Blandtown,97
BURGLARY-RESIDENCE,Fort Valley,97
AUTO THEFT,Ben Hill,97
AGG ASSAULT,Adams Park,96
AUTO THEFT,Fairburn Heights,96
BURGLARY-NONRES,Virginia Highland,96
ROBBERY-PEDESTRIAN,Capitol View,96
LARCENY-FROM VEHICLE,Buckhead Heights,95
BURGLARY-NONRES,Sweet Auburn,95
BURGLARY-RESIDENCE,Boulevard Heights,95
AUTO THEFT,Riverside,95
LARCENY-NON VEHICLE,Polar Rock,95
AUTO THEFT,Cabbagetown,94
ROBBERY-PEDESTRIAN,Kirkwood,94
AGG ASSAULT,Piedmont Heights,94
LARCENY-NON VEHICLE,The Villages at East Lake,93
BURGLARY-NONRES,Inman Park,93
AUTO THEFT,West Lake,93
BURGLARY-NONRES,Morningside/Lenox Park,93
AUTO THEFT,Garden Hills,93
LARCENY-FROM VEHICLE,Scotts Crossing,93
BURGLARY-NONRES,South Atlanta,92
LARCENY-NON VEHICLE,Leila Valley,92
BURGLARY-NONRES,Loring Heights,92
BURGLARY-NONRES,Perkerson,91
LARCENY-NON VEHICLE,Hills Park,91
AUTO THEFT,Betmar LaVilla,91
BURGLARY-RESIDENCE,Mt. Paran/Northside,90
LARCENY-NON VEHICLE,Chastain Park,90
LARCENY-NON VEHICLE,Carroll Heights,90
BURGLARY-NONRES,Underwood Hills,89
BURGLARY-RESIDENCE,Atlantic Station,89
ROBBERY-PEDESTRIAN,Hunter Hills,89
LARCENY-FROM VEHICLE,Brookhaven,89
BURGLARY-NONRES,Castleberry Hill,88
LARCENY-NON VEHICLE,Paces,88
ROBBERY-PEDESTRIAN,Florida Heights,88
LARCENY-NON VEHICLE,Kings Forest,88
ROBBERY-PEDESTRIAN,Mozley Park,88
AGG ASSAULT,West Lake,87
AUTO THEFT,Fort Valley,87
BURGLARY-NONRES,Adams Park,86
ROBBERY-PEDESTRIAN,South Atlanta,86
AGG ASSAULT,Old Gordon,86
LARCENY-NON VEHICLE,Mays,86
LARCENY-FROM VEHICLE,Mt. Paran/Northside,85
AGG ASSAULT,Polar Rock,85
BURGLARY-NONRES,Kirkwood,85
LARCENY-FROM VEHICLE,Fairburn Heights,85
LARCENY-FROM VEHICLE,Mays,84
LARCENY-FROM VEHICLE,Betmar LaVilla,84
LARCENY-NON VEHICLE,West Paces Ferry/Northside,83
AUTO THEFT,Ben Hill Terrace,83
LARCENY-NON VEHICLE,Knight Park/Howell Station,83
LARCENY-FROM VEHICLE,Boulevard Heights,83
LARCENY-NON VEHICLE,The Villages at Castleberry H,83
